Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

SP12       PGB1010402          261.696mm      233.24mm     261.696mm     233.248mm     261.696mm      233.74mm  B        270.00 PGB1010402     
SP13       PGB1010402          260.688mm     226.644mm      260.68mm     226.644mm     260.188mm     226.644mm  B        360.00 PGB1010402     
SP14       PGB1010402          260.172mm      233.24mm     260.172mm     233.248mm     260.172mm      233.74mm  B        270.00 PGB1010402     
SP15       PGB1010402          257.894mm     226.644mm     257.886mm     226.644mm     257.394mm     226.644mm  B        360.00 PGB1010402     
SP16       PGB1010402          258.648mm      233.24mm     258.648mm     233.248mm     258.648mm      233.74mm  B        270.00 PGB1010402     
SP6        PGB1010402           18.102mm      46.812mm       18.11mm      46.812mm      18.602mm      46.812mm  T        180.00 PGB1010402     
SP7        PGB1010402           18.102mm     44.2721mm       18.11mm      44.272mm      18.602mm     44.2721mm  T        180.00 PGB1010402     
SP8        PGB1010402           18.102mm     41.7321mm       18.11mm      41.732mm      18.602mm     41.7321mm  T        180.00 PGB1010402     
SP4        PGB1010402           16.848mm      66.624mm       16.84mm      66.624mm      16.348mm      66.624mm  T        360.00 PGB1010402     
SP5        PGB1010402           16.848mm      61.544mm       16.84mm      61.544mm      16.348mm      61.544mm  T        360.00 PGB1010402     
SP17       PGB1010402          244.924mm     228.676mm     244.932mm     228.676mm     245.424mm     228.676mm  B        180.00 PGB1010402     
SP18       PGB1010402          243.908mm     231.216mm     243.916mm     231.216mm     244.408mm     231.216mm  B        180.00 PGB1010402     
SP19       PGB1010402         241.3426mm    227.0504mm    241.3506mm    227.0504mm    241.8426mm    227.0504mm  B        180.00 PGB1010402     
SP20       PGB1010402         239.2678mm    232.8082mm    239.2678mm    232.8162mm    239.2678mm    233.3082mm  B        270.00 PGB1010402     
SP21       PGB1010402          236.812mm    227.1012mm     236.804mm    227.1012mm     236.312mm    227.1012mm  B        360.00 PGB1010402     
SP22       PGB1010402         236.7024mm    232.8082mm    236.7024mm    232.8162mm    236.7024mm    233.3082mm  B        270.00 PGB1010402     
SP23       PGB1010402         233.7894mm    227.0758mm    233.7814mm    227.0758mm    233.2894mm    227.0758mm  B        360.00 PGB1010402     
SP24       PGB1010402         234.2132mm    232.8082mm    234.2132mm    232.8162mm    234.2132mm    233.3082mm  B        270.00 PGB1010402     
SP3        SOT192P237X120-4N        52.4mm      25.984mm        52.4mm      25.984mm       51.35mm      26.744mm  T          0.00 PRTR5V0U2AX    
Y7         636XXXXXXMXXXXX     225.628mm      209.88mm     225.628mm      209.88mm     224.358mm      208.78mm  T          0.00 636N5C025M00000
