"Manufacturer";"PartNum";"Description";"Designator";"Quantity";"Rating";"Tolerance";"Value";"POD number"
"Littelfuse";"PGB1010402";"Surface Mount Polymeric ESD Suppressor in an 0402 package";"SP4, SP5, SP6, SP7, SP8, SP9, SP10, SP11, SP12, SP13, SP14, SP15, SP16, SP17, SP18, SP19, SP20, SP21, SP22, SP23, SP24, SP25, SP26, SP27, SP28, SP29, SP30, SP31, SP32, SP33, SP34, SP35, SP36, SP37, SP38, SP39, SP40, SP41, SP42, SP43, SP44, SP45, SP46";"43";;;;"ELMECH-ESD-3"
"Littelfuse";"PGB102ST23WR";"Ultra-low Capacitance, Surface mount ESD Suppressor";"SP1, SP2";"2";;;;"ELMECH-ESD-4"
"Littelfuse";"V5.5MLA0603";"Multilayer Transient Voltage Surge Suppressing Varistor";"VR1, VR2";"2";;;;"ELMECH-ESD-2"
"LUMEX";"SML-LX1206GC-TR";"Green, Surface mount, LED, 1206";"DS3, DS4, DS5, DS6, DS9, DS10, DS11, DS12, DS15, DS16, DS17, DS18, DS19, DS20, DS21, DS22, DS23, DS24, DS25, DS29";"20";"20mA";;;"OPTO-LED-0"
"LUMEX";"SML-LX1206IC-TR";"Red, Surface mount, LED, 1206";"DS1, DS2, DS26, DS27, DS28";"5";"20mA";;;"OPTO-LED-1"
"Marvell";"88E1111-XX-BAB1C000";"Integrated 10/100/1000 Ultra Gigabit Ethernet Transceiver";"U50, U64";"2";;;;"IC-PHY-1"
"Maxim";"DS1307Z+";"I2C Real-Time Clock";"U11";"1";;;;"IC-MON-5"
"MAXIM";"DS32KHZS#";"Temperature Compensated, 32.768 kHz Crystal Oscillator";"U85";"1";;;;"IC-MON-7"
"Maxim";"MAX16071ETL+";"8-Channel, Flash-Configurable System Monitor with Nonvolatile Fault Registers";"U16, U23";"2";;;;"IC-MON-3"
"Maxim";"MAX1805MEE";"Multichannel Remote/Local Temperature Sensors";"U22";"1";;;;"IC-MON-1"
"MAXIM";"MAX6650EUB";"Fan-Speed Regulators and Monitors with SMBus/I2C-Compatible Interface";"U13, U17, U21, U26";"4";;;;"IC-MON-2"
"Micrel";"MIC2774N-29YM5";"Dual-power low voltage supervisor";"U29, U92";"2";;;;"IC-MON-4"
